problem_id,response,first_response_time,after_ai_time
1,0,10.484580516815186,
3,1,9.354764699935913,
4,0,10.339597225189209,
5,1,11.247965574264526,
7,1,13.249800443649292,
7,1,4.583721876144409,
8,0,17.627631425857544,
8,0,12.050695657730103,
9,0,10.57712697982788,
11,1,20.859618186950684,
13,1,7.596728801727295,
14,1,10.835033893585205,
15,1,10.48421049118042,
16,0,14.11174488067627,
17,1,37.718990087509155,
19,1,11.388249635696411,
20,0,8.749691009521484,
22,1,11.26155686378479,
23,0,23.870594024658203,
26,1,5.802009105682373,
27,0,37.141722679138184,
28,0,17.03817057609558,
29,1,12.392610788345337,
29,1,12.337178945541382,
30,0,9.547285795211792,
30,1,21.129346132278442,
31,0,18.02975296974182,
31,1,30.86571955680847,
32,0,6.483235836029053,
33,0,7.672259569168091,
